,Unnamed: 0,ADDRESS_X,LATITUDE_X,LONGITUDE_X,AGENCY,CREATE_TIME_INCIDENT,DISPOSITION_TEXT,EVENT_NUMBER,INCIDENT_TYPE_ID,INCIDENT_TYPE_DESC,NEIGHBORHOOD,PRIORITY,PRIORITY_COLOR,ARRIVAL_TIME_PRIMARY_UNIT,CLOSED_TIME_INCIDENT,DISPATCH_TIME_PRIMARY_UNIT,BEAT,COMMUNITY_COUNCIL_NEIGHBORHOOD,DISTRICT,ResponseTime,year,month,day,hour,minute,dayofweek,colorScale
count,568717.0,568717,568717.0,568717.0,568717,568717,565116,568717,568717,358696,0.0,426956.0,250712,568717,562939,568717,567420,566422,566417.0,568717.0,568717.0,568717,568717.0,568717.0,568717.0,568717,568717.0
unique,,18905,,,2,566952,825,568711,238,231,,,4,567392,561554,567652,165,71,,,,12,,,,7,
top,,35XX READING RD,,,CPD,2018-07-17 19:00:01,INV: INV,CPD171227001232,FAMTRB,DISORDERLY PERSON(S),,,BLUE,2016-07-10 10:22:51,2016-09-24 22:54:13,2018-03-05 11:43:35,P321,WESTWOOD,,,,Nov,,,,Sat,
freq,,2321,,,318972,3,69488,2,52213,25205,,,114064,3,4,3,35050,48104,,,,53535,,,,83948,
mean,1485263.678451673,,39.14033604789644,-84.51767760676712,,,,,,,,12.365224988054976,,,,,,,3.153411709041219,9.969246567273354,2016.6667604450017,,15.695950710107136,13.26363375809058,29.48796501599214,,6.826655436711053
std,612620.457044435,,0.0309383287059217,0.055575611959501905,,,,,,,,9.651044410989094,,,,,,,1.3145619667778592,14.702786038907544,1.3192798233527645,,8.792005217823592,6.668185037249363,17.2223243604444,,3.2279981967176563
min,3.0,,38.9638980000897,-84.81762900000003,,,,,,,,1.0,,,,,,,1.0,1.0,2014.0,,1.0,0.0,0.0,,3.0
25%,957547.0,,39.1149630001195,-84.5607510411858,,,,,,,,4.0,,,,,,,2.0,3.0,2016.0,,8.0,9.0,15.0,,3.0
50%,1485179.0,,39.1358200000896,-84.51660388,,,,,,,,9.0,,,,,,,3.0,6.0,2017.0,,16.0,14.0,30.0,,6.0
75%,2015055.0,,39.158432360089606,-84.485764,,,,,,,,21.0,,,,,,,4.0,11.0,2018.0,,23.0,19.0,44.0,,11.0
max,2545623.0,,39.4249550001191,-84.096498,,,,,,,,35.0,,,,,,,5.0,1634.0,2019.0,,31.0,23.0,59.0,,11.0
